"id","order_id","client_id","item_id","merchant_id","date_created","item_name","order_notes","normal_price","discounted_price","size","qty","cooking_ref","addon","ingredients","non_taxable"
"330388","147495","7790","1593","24","2020-09-02","Carrot (500g)",,"500.0000","500.0000","regular","1",,"[]",,"1"
"330389","147495","7790","1614","24","2020-09-02","Garlic - peeled (500g)",,"1800.0000","1800.0000","regular","1",,"[]",,"1"
"330390","147495","7790","1627","24","2020-09-02","White Onions (500g)",,"500.0000","500.0000","regular","1",,"[]",,"1"
"330391","147495","7790","1652","24","2020-09-02","Spring Onion (Bunch)",,"300.0000","300.0000","regular","1",,"[]",,"1"
"330392","147495","7790","5257","24","2020-09-02","Tomatoes (1kg)",,"1300.0000","1300.0000","medium","1",,"[]",,"1"
"330393","147495","7790","1669","24","2020-09-02","Goosberry",,"2000.0000","2000.0000","regular","1",,"[]",,"1"
"330394","147495","7790","1676","24","2020-09-02","Mandarine (500g)",,"1500.0000","1500.0000","regular","1",,"[]",,"1"
"330395","147495","7790","1700","24","2020-09-02","Pineapple (Big Size)",,"1200.0000","1200.0000","regular","1",,"[]",,"1"
"330396","147495","7790","4469","24","2020-09-02","Thyme",,"300.0000","300.0000","small","1",,"[]",,"1"
"330397","147495","7790","1712","24","2020-09-02","Rosemary",,"200.0000","200.0000","regular","1",,"[]",,"1"
"330398","147495","7790","1709","24","2020-09-02","Coriander",,"400.0000","400.0000","regular","1",,"[]",,"1"
"330399","147496","2798","13848","135","2020-09-02","Chicken wraps","buy1 get 1 free..","3500.0000","3500.0000","regular","1",,"[]",,"1"
"330400","147497","2458","3942","44","2020-09-02","Martini Bianco (100 cl)",,"18500.0000","18500.0000","regular","1",,"[]",,"1"
"330401","147498","10185","12589","9","2020-09-02","Hummus love",,"7000.0000","7000.0000","regular","1",,"[]",,"1"
"330402","147498","10185","601","9","2020-09-02","Kigali mornings",,"3500.0000","3500.0000","regular","1",,"[{""addon_name"":""Mint lemonade"",""addon_category"":""Extra Drinks"",""addon_qty"":1,""addon_price"":0}]",,"1"
"330403","147498","10185","12769","9","2020-09-02","Tofu",,"3000.0000","3000.0000","regular","1",,"[]",,"1"
"330404","147499","2458","3942","44","2020-09-02","Martini Bianco (100 cl)",,"18500.0000","18500.0000","regular","1",,"[]",,"1"
"330405","147500","403","409","2","2020-09-02","Prestige Margarine",,"1000.0000","1000.0000","250G","1",,"[]",,"1"
"330406","147500","403","1209","2","2020-09-02","Horebu Bakery Sandwich",,"800.0000","800.0000","regular","1",,"[]",,"1"
"330407","147500","403","162","2","2020-09-02","Masaka Farms Vanilla Yogurt",,"800.0000","800.0000","500 ML","1",,"[]",,"1"
"330408","147500","403","11963","2","2020-09-02","Inyange Low fat Milk",,"600.0000","600.0000","500 ML","1",,"[]",,"1"
"330409","147500","403","1244","2","2020-09-02","Adma short cake",,"350.0000","350.0000","regular","1",,"[]",,"1"
"330410","147500","403","1339","2","2020-09-02","Pringles",,"2500.0000","2500.0000","regular","1",,"[]",,"1"
"330411","147500","403","1310","2","2020-09-02","Mars chocolate",,"1000.0000","1000.0000","regular","1",,"[]",,"1"
"330412","147501","12291","104","3","2020-09-02","Steak quesadilla",,"4500.0000","4500.0000","regular","1",,"[]",,"1"
"330413","147501","12291","364","3","2020-09-02","Chicken Burrito",,"5000.0000","5000.0000","regular","2",,"[{""addon_name"":""Chips & salsa"",""addon_category"":""Extras"",""addon_qty"":1,""addon_price"":600},{""addon_name"":""Grilled onions & peppers"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Avocado cream sauce"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Honey lime dressing"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Beans"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Rice"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Medium salsa"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Fiesta"",""addon_category"":""Would you like to add a Soda?"",""addon_qty"":1,""addon_price"":1000}]",,"1"
"330414","147501","12291","419","3","2020-09-02","Papinana",,"2000.0000","2000.0000","regular","1",,"[]",,"1"
"330415","147501","12291","432","3","2020-09-02","Lepinana",,"2000.0000","2000.0000","regular","1",,"[]",,"1"
"330416","147502","3799","8404","100","2020-09-02","Heineken",,"800.0000","800.0000","regular","10",,"[{""addon_name"":""I would like to re-sell the empties"",""addon_category"":""Would you re-sell the empties for a voucher?"",""addon_qty"":1,""addon_price"":0}]",,"1"
"330417","147503","2458","3942","44","2020-09-02","Martini Bianco (100 cl)",,"18500.0000","18500.0000","regular","1",,"[]",,"1"
"330418","147504","967","3330","40","2020-09-02","“Not a Boring”Veggie Burger (V)",,"6000.0000","6000.0000","regular","1",,"[{""addon_name"":""Medium to Well Done"",""addon_category"":""MEAT TEMPERATURE"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Peanut sauce"",""addon_category"":""SIDE SAUCES"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Chinese stir fried vegetables (locali spinach)"",""addon_category"":""VEGGIES"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Grilled green plantains"",""addon_category"":""CARBO\\'S"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Fries sweet potatoes"",""addon_category"":""EXTRA CARBO\\'S?"",""addon_qty"":1,""addon_price"":1000}]",,"1"
"330419","147505","16817","11715","144","2020-09-02","Zingalo",,"1000.0000","1000.0000","regular","4",,"[]",,"1"
"330420","147505","16817","11718","144","2020-09-02","Potato",,"500.0000","500.0000","regular","2",,"[]",,"1"
"330421","147506","14800","6586","53","2020-09-02","Chicken BBQ",,"5000.0000","5000.0000","Regular (20Cm)","1",,"[]",,"1"
"330422","147507","8533","5393","64","2020-09-02","Banana bread",,"1900.0000","1900.0000","regular","2",,"[]",,"1"
"330423","147507","8533","12296","64","2020-09-02","Black forest cake",,"3500.0000","3500.0000","regular","1",,"[]",,"1"
"330424","147508","5143","13296","60","2020-09-02","Chicago Style Gyro",,"5000.0000","5000.0000","Without Chips","1",,"[]",,"1"
"330425","147509","8507","5379","60","2020-09-02","Double Bacon Cheese Burger",,"7000.0000","7000.0000","With Chips","1",,"[]",,"1"
"330426","147510","16092","8464","100","2020-09-02","Turbo King",,"700.0000","700.0000","regular","10",,"[]",,"1"
"330427","147511","8526","9365","115","2020-09-02","Vanilla",,"750.0000","750.0000","100ml","1",,"[]",,"1"
"330428","147511","8526","9368","115","2020-09-02","Mango",,"750.0000","750.0000","100ml","1",,"[]",,"1"
